file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108A_S40.non.host.R1.fastq.gz	FASTQ	DNA	24322252	3627680930	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108B_S41.non.host.R1.fastq.gz	FASTQ	DNA	20520176	3058592084	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108C_S42.non.host.R1.fastq.gz	FASTQ	DNA	33067586	4930745078	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108D_S43.non.host.R1.fastq.gz	FASTQ	DNA	26190082	3903286191	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108E_S44.non.host.R1.fastq.gz	FASTQ	DNA	23813070	3550513160	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108F_S45.non.host.R1.fastq.gz	FASTQ	DNA	19846249	2959581901	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-108G_S46.non.host.R1.fastq.gz	FASTQ	DNA	30055163	4480117395	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110A_S47.non.host.R1.fastq.gz	FASTQ	DNA	29460633	4385625995	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110B_S48.non.host.R1.fastq.gz	FASTQ	DNA	36439967	5424133974	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110C_S49.non.host.R1.fastq.gz	FASTQ	DNA	29443570	4383344812	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110D_S50.non.host.R1.fastq.gz	FASTQ	DNA	34303506	5107494058	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110E_S51.non.host.R1.fastq.gz	FASTQ	DNA	32945387	4904580077	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110F_S52.non.host.R1.fastq.gz	FASTQ	DNA	38401874	5715125588	36	148.8	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-110G_S53.non.host.R1.fastq.gz	FASTQ	DNA	29256656	4355739052	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111A_S54.non.host.R1.fastq.gz	FASTQ	DNA	31303543	4667036351	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111B_S55.non.host.R1.fastq.gz	FASTQ	DNA	32117649	4786585971	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111C_S56.non.host.R1.fastq.gz	FASTQ	DNA	26470174	3945106422	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111D_S57.non.host.R1.fastq.gz	FASTQ	DNA	31128022	4643099298	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111E_S58.non.host.R1.fastq.gz	FASTQ	DNA	24616357	3670150796	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111F_S59.non.host.R1.fastq.gz	FASTQ	DNA	30093403	4485833632	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-111G_S60.non.host.R1.fastq.gz	FASTQ	DNA	32727921	4876482261	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-113A_S61.non.host.R1.fastq.gz	FASTQ	DNA	23645374	3525572862	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-113B_S62.non.host.R1.fastq.gz	FASTQ	DNA	24181130	3610035741	36	149.3	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-113C_S63.non.host.R1.fastq.gz	FASTQ	DNA	26839317	4002739203	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-113D_S64.non.host.R1.fastq.gz	FASTQ	DNA	18469775	2753417354	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114A_S65.non.host.R1.fastq.gz	FASTQ	DNA	25119344	3744917422	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114B_S66.non.host.R1.fastq.gz	FASTQ	DNA	22534997	3358541181	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114C_S67.non.host.R1.fastq.gz	FASTQ	DNA	24853738	3705153793	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114D_S68.non.host.R1.fastq.gz	FASTQ	DNA	23976460	3575254316	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114E_S69.non.host.R1.fastq.gz	FASTQ	DNA	23137733	3450062446	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114F_S70.non.host.R1.fastq.gz	FASTQ	DNA	23161343	3454281469	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-114G_S71.non.host.R1.fastq.gz	FASTQ	DNA	24988492	3722732172	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-115A_S72.non.host.R1.fastq.gz	FASTQ	DNA	26025627	3882094396	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-115B_S73.non.host.R1.fastq.gz	FASTQ	DNA	24733414	3687654073	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-115C_S74.non.host.R1.fastq.gz	FASTQ	DNA	24033692	3583508882	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-115D_S75.non.host.R1.fastq.gz	FASTQ	DNA	21738348	3239956357	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-117A_S76.non.host.R1.fastq.gz	FASTQ	DNA	26976905	4020430190	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-117B_S77.non.host.R1.fastq.gz	FASTQ	DNA	28570590	4261243613	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-117C_S78.non.host.R1.fastq.gz	FASTQ	DNA	25902547	3859702419	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-118A_S79.non.host.R1.fastq.gz	FASTQ	DNA	37490701	5591404636	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-118B_S80.non.host.R1.fastq.gz	FASTQ	DNA	21857078	3259200565	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-118C_S81.non.host.R1.fastq.gz	FASTQ	DNA	23603295	3515972080	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120A_S82.non.host.R1.fastq.gz	FASTQ	DNA	25429796	3788745522	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120B_S83.non.host.R1.fastq.gz	FASTQ	DNA	27368888	4080577790	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120C_S84.non.host.R1.fastq.gz	FASTQ	DNA	22663166	3374486737	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120D_S85.non.host.R1.fastq.gz	FASTQ	DNA	22647310	3372656641	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120E_S86.non.host.R1.fastq.gz	FASTQ	DNA	22367102	3332489770	36	149.0	151
